node, weight
30388,37453385
30410,102098670
30419,40200788
30423,105660126
30455,28524963
30456,48485374
30457,40103302
30461,90174665
30464,26668108
30521,182198901
30522,194580145
30527,171342072
30538,247045207
30551,10374018
30586,262729906
30589,6726976
30602,157707875
30608,17595990
30611,13443900
30640,848687049
30732,262344142
31033,217848343
31142,368101663
31869,10348030
32389,980545102
32443,177502409525
32473,347993403
32523,142791247033
32524,130261791805
32525,52269199858
32536,6918860
33208,750706087790
33317,417951589080
33412,63974344
33416,2807988470
33418,94792514
33423,53188174
33425,49068981
33427,46466964
33428,40923986
33429,85368027
33440,42421337
33441,112975895
33442,256581685
33444,126406856
33455,174303609
33457,45424436
33528,114260598
33548,257821088
33553,3579025913
33554,7703837940
33556,1787476
33562,233383469
33584,67851384
33598,48127747
33601,53126736
33616,210943275
34329,1222766564
34620,1561238820
34682,320482208
34690,51596696
34691,73282510
34720,331991468
34729,189615203
34739,388689615
34773,1700371053
34785,259103793
34787,465387785
34816,115838162
34827,6467986
34839,8071944
34842,3136716
34844,186145891
34846,16736094
34873,157551028
34880,143633555
34882,178873192
34884,207010018
34886,179792659
34903,423182744
34926,120762113
34956,71397188
34996,464546958
35005,442889603
35523,564240261
35570,257062637
35657,352812495
35658,168707270
35670,444446574
35885,841253987
36166,212763398
36176,383353182
36185,695118250
36190,1301264838
36200,882334131
36212,1455593100
36226,277348388
36227,1103244
36239,215418135
36248,149968802
36249,52509814
36263,57745599
36268,34341245
36275,73103354
36300,31088187
36329,22185340
36667,371707300
36722,125785212
36723,188218462
36987,356888770
37001,120127778
37003,193410383
37032,6884506
37040,26429493
37042,56920443
37046,47017441
37079,44101661
37080,63014442
37081,41035389
37083,165355407
37174,128552554
37176,173715639
37181,295232796
37190,178932429
37273,349561787
37293,9550946
37344,194301222
37546,234097344
37548,5182470
37610,735595056
37627,195022103
37653,1211014
37682,959476835
38123,408654231
38162,1063000180
38358,520075813
38397,48395052
38414,1030397968
38527,1334534278
38618,142992032
38626,194779792
38654,321622600
38674,23253920
38705,780925528
38772,366883592
38775,256470062
38881,1448518
38941,485577233
38942,1557985362
39082,15767062
39086,10704742
39099,349930484
39107,1724131924
39432,351680619
39466,223663319
39617,70556749
39621,70549768
39638,121832702
39758,94797619
39961,65468327
39963,78744920
40077,157114383
40085,331350712
40148,289273413
40149,255500409
40151,3881290
40217,46071808
40233,0
40366,76659832
40370,83100470
40674,52439068211
40690,1879678940
40692,1369254750
40817,136265060
40818,48933898
40830,903700438
41101,682384421
41112,72767873
41139,1898083901
41261,6879522
41426,186337968
41427,42823609
41447,181647188
41882,811812
42026,253148790
42062,21176916
42100,183050723
42192,10842222
42254,15831144
42275,252088833
42410,199424245
42415,16094404
42514,395564669
42526,493792735
42563,317496668
42636,1312467073
42648,190780901
42839,15792563
42896,359694917
43041,21802541
43146,364732234
43151,15104850
43179,176305066
43256,1767610796
43316,52381620
43321,7405334
43332,13942384
43455,35276711
43580,88306233
43689,527806626
43700,278672246
