node, chunk
178035,4
178133,0
179674,9
179676,1
181096,2
181099,2
181119,2
181461,7
181472,7
181631,2
181839,2
182669,3
182895,2
182897,2
183150,7
183418,4
183661,3
183749,3
184059,4
185453,3
185578,1
186443,2
186474,3
186990,3
187106,2
187382,2
187383,2
187437,2
187451,2
187685,11
187695,11
187706,11
188133,7
188135,7
188136,7
188344,2
188379,2
188791,7
189058,3
189258,1
189513,11
189839,11
189913,10
189979,1
190295,2
190331,10
190356,10
190661,2
190676,2
191398,10
191418,10
191431,3
191816,3
192404,3
194338,2
194366,5
195168,11
195172,11
195615,7
195821,7
195883,11
197043,11
197152,11
198433,1
198635,1
198719,1
198806,2
198938,2
198940,2
199890,1
199937,4
200407,4
201329,2
201502,1
201766,11
202137,11
202456,11
202533,0
202808,4
202946,2
203781,10
203782,10
204567,1
205130,7
207598,3
207624,4
207636,4
207650,4
207806,4
208069,2
208073,2
208333,7
208481,4
208972,3
208979,4
209166,5
209618,2
209779,2
210139,7
210632,7
210647,3
210652,3
210855,6
211228,4
211598,2
211916,2
211967,2
214171,9
214277,9
214431,6
214438,2
214486,6
214514,3
214812,6
215358,6
215402,7
216125,0
216574,2
217165,11
217217,4
217443,4
217634,11
218760,10
219539,1
219545,5
219594,2
219595,2
219809,4
219812,4
219896,0
220873,0
221966,2
222816,4
223228,11
223781,2
224129,11
224669,2
225387,6
225398,2
225400,3
226149,1
226151,1
227169,2
227182,2
227184,2
227192,2
227226,2
227228,2
227532,10
227619,11
228250,6
228252,6
230833,3
230844,3
233158,10
234690,3
235516,11
235915,3
236788,9
236850,1
236851,1
237420,2
237433,2
237438,2
238572,10
239371,2
239386,2
240154,6
240159,6
240162,6
240163,6
240201,2
240206,2
240209,2
240729,2
240832,7
240869,1
241271,6
241346,6
241437,2
241442,5
241585,2
241587,2
242068,5
242267,10
243059,2
243314,2
243708,7
243888,2
244254,1
244447,7
244518,7
245042,2
246437,3
246452,4
247415,11
247671,2
248309,10
248310,10
248311,10
248312,10
248313,10
248314,10
248454,11
249251,10
251359,2
252295,10
252483,11
252671,0
252798,2
253017,0
253715,4
254363,9
254446,2
254448,2
254528,2
254539,2
254552,2
254557,2
254575,2
254652,2
256136,0
256693,2
257627,0
257759,0
257818,2
257879,3
258930,3
259920,8
260615,2
260767,5
260995,8
261741,3
261815,4
262131,2
263140,1
263933,10
265386,10
265454,10
265458,1
265632,2
266360,2
268709,10
269057,7
269412,2
270466,10
270525,4
270528,4
270529,4
270537,7
271503,6
272121,3
272628,10
273407,1
273409,1
273748,11
273928,11
274613,11
274622,2
278164,5
278856,10
279965,2
279966,2
282391,10
283035,6
283848,10
283855,10
286419,3
286706,11
287016,2
287197,10
287375,10
290523,6
291302,3
291688,10
291819,5
292152,4
292154,4
292155,4
292159,4
292309,11
292402,1
293821,6
295700,11
296741,2
297284,3
297711,2
298831,2
299123,2
300111,4
300306,7
300413,6
300877,3
301037,10
302047,7
302098,3
302527,2
303304,2
303518,7
304459,6
307491,11
307492,11
307507,0
307658,4
307955,5
307959,5
307972,8
308060,2
309970,4
310279,4
310282,4
310352,3
310571,6
310712,3
310713,3
310714,3
310752,3
310794,10
310795,10
310899,0
310915,5
311356,2
311401,2
311790,3
311874,4
311890,2
311895,2
311897,2
311901,2
312124,2
312236,1
313498,0
314146,3
314147,3
314293,3
