node, chunk, filesize
80765,8,86397584
80833,0,328871096
80966,2,321148068
80972,2,366434258
81572,5,203404355
81927,4,123892635
81970,6,206858858
82127,5,146513020
82366,2,291281368
82595,1,323538175
82600,8,753545786
83376,4,30349258
83485,7,180344024
83487,1,66508124
83647,8,591522865
84645,5,1060591672
84702,5,191389974
84834,4,274414079
85066,4,70383982
85069,4,64617878
85105,4,91470746
85120,3,159369058
85443,7,333953740
85444,7,404390093
85585,8,354882604
85660,7,267253995
85681,6,572359539
86224,2,441478765
86971,7,585068738
86973,5,13104004
87175,4,219609227
87288,5,6646876
88005,0,1121134299
88029,5,7247982
88036,6,3263630
88082,4,461702174
88087,4,458573894
88112,4,77079503
88201,2,551855341
88217,7,125711476
88501,7,283763970
88514,7,565179504
88531,7,549333552
88556,8,743184906
88686,3,414309822
88925,0,1190570283
89197,6,1216936913
89248,5,207369901
89386,4,49938015
89399,5,12354446
89462,5,1324792
89632,5,8400710
89673,5,218438393
90247,5,233311278
90397,6,837113398
90675,6,1007314143
90988,5,925061524
91212,6,1169216093
91218,6,1087013363
91411,7,93245062
91422,7,306768355
91561,5,1400413
91738,1,819407847
91739,1,612087657
91767,4,76700777
91951,4,267943904
92683,4,104692689
92688,4,58501794
93162,5,279324246
93163,5,243124459
93504,1,383229776
93934,4,41043388
94109,3,224967883
94128,7,96990665
94188,5,6186924
94232,2,586614455
94237,2,185746925
94323,0,8892780
94827,4,28880091
94885,4,358233562
94893,4,461334088
94911,2,728876421
94953,2,230814794
94963,5,9295160
95170,0,1119077990
95593,1,631879373
95620,4,252333303
95912,5,11220942
96440,4,579408486
96539,4,62180529
97097,4,43903022
97206,5,174051078
98310,0,61826726
98964,4,136149979
99837,5,34273010
99882,4,63574669
99883,2,200169937
100190,2,399860034
100784,4,32876169
100819,4,51705756
100952,2,983402204
101364,5,1189141599
101932,1,4819078
103372,7,359441236
103600,5,257189590
103695,4,283817048
103765,3,163653516
103775,3,223686267
103933,7,380567583
103944,4,325686051
103956,4,70965639
104421,7,608859725
104447,1,625927959
104452,1,420506033
104460,1,429587092
104474,1,1140636780
104476,1,541386061
104658,2,835925829
104688,3,504066880
105023,2,569895334
105785,8,361306240
106299,0,9928155
106582,2,654433217
106734,4,461957796
107208,4,61919663
108405,4,153763025
108852,5,12461068
108858,5,15206540
108931,8,1054095607
108974,7,193118487
109027,8,648063189
109280,2,249367995
109356,3,149998376
109478,5,13827574
109678,5,617518739
109905,2,816844447
110193,8,90741522
110368,1,291140282
110676,4,54422096
111784,2,379805101
111811,4,273256961
111838,5,281543924
111875,3,163319697
111881,1,508140465
111903,1,617472115
111917,1,367933532
111923,1,800217573
112262,5,128552554
112268,3,35690118
113103,8,469820090
113115,4,74884612
113330,1,1982742527
113334,1,776939435
113540,5,332901376
113544,5,129443690
114276,4,47403095
114329,4,239319056
114331,4,50075840
114369,4,57046149
114398,8,611128
115081,7,258679050
115100,7,691231664
115357,8,1606572873
115425,3,240120815
115618,4,48342278
116121,8,464924313
116126,1,2006513461
116130,1,463190377
116150,1,537004502
116153,8,229294852
116960,5,170035846
117165,4,47023893
117534,8,459372
117571,0,34136
118141,5,312047526
118183,4,67371521
118200,4,52602400
118793,4,56642973
118797,5,2356008
118852,5,10753681
119488,2,618600896
119604,3,85468650
120566,0,35303277
120794,4,118948140
121224,8,45283821
121488,6,3506026996
121530,4,36935750
121554,6,1257435021
121845,8,284659204
122231,5,144295566
123217,3,248118224
123683,2,603108015
123851,8,349545782
124412,1,171655204
125297,4,65151957
125878,5,413127875
125945,3,1359354655
126373,2,734957547
126836,4,110245636
127322,1,10189482
127582,5,187314792
127929,4,106056418
128390,4,39384553
129108,2,1263806359
129224,5,151344874
129397,1,152641435
129788,0,47286525
130081,0,25263039
130686,7,223514334
130704,7,110594698
130708,7,116370002
130825,5,141532613
132113,7,118179650
132243,3,206089195
132585,4,47518525
132908,5,160523097
133082,8,441383243
133901,8,219054855
134902,4,133278560
134920,2,613384881
135165,4,51046636
135168,4,78631051
135433,4,213319178
135441,4,64775734
135761,2,208481650
135764,2,353622356
135765,2,347196540
135921,8,46851470
135972,4,60094468
136037,8,213624829
137070,3,176171297
137072,3,96450477
137074,3,266043038
137078,3,193861195
137178,6,1013842
137246,0,786929981
137355,3,196646757
137520,2,557418896
137541,4,54316969
137693,6,844470155
138070,1,743609405
139649,3,1042922587
139677,3,194687729
139723,3,28721412
140453,0,673150
141832,0,628294
141839,4,41259073
142471,4,131434561
143287,5,9670196
143291,5,215894254
143292,5,17533144
143302,5,5123088
143351,5,161186377
143606,5,2160285168
143630,4,321527667
143722,8,386566386
143724,8,130920972
143735,8,570201231
143948,8,199291307
143950,8,478462192
143995,7,166070369
144034,7,259702720
144197,2,161945232
146810,2,126348264
146911,4,387553699
146921,2,451117838
148065,5,0
148594,4,316709357
148810,7,157528733
148819,0,15240833
148989,5,454174494
150288,2,209035589
151541,1,574746290
151549,8,492486997
152616,1,94974368
153643,4,120680741
154130,3,22725652
154832,3,230939394
155063,5,364488598
155067,5,1261655800
156170,4,62340319
156304,7,137395549
156561,4,70316987
156563,4,90736899
156759,4,330777529
156760,4,41133897
157728,0,25903763
158441,8,283089808
158456,2,553809940
158586,0,9168342
158624,8,1012737690
158812,4,576841220
159581,4,61448635
159646,4,530381325
160400,5,16526232
160708,2,578606382
160734,2,402470555
160748,0,779486659
160761,4,401012783
161013,8,221388504
161453,2,322357560
161584,2,415645522
161590,2,725126070
161649,4,53733735
161653,4,55760324
161742,4,37951687
161767,2,539421260
161770,8,306066041
161934,6,877024570
163118,2,239070418
163134,2,338552939
164674,4,100760150
165599,0,68961169
165858,1,215145375
166361,8,621219024
166423,7,81411215
166741,2,391545016
168631,1,588011785
170555,8,665343175
170557,8,627443736
170625,3,19442482
171122,5,8008932
171585,1,425832626
171594,1,440457604
171605,1,375250859
171736,2,322737004
171913,1,40413683
171915,1,44464078
